Hotel ID,User ID,Price,Location,Timestamp,Rooms Rating,Service Rating,Value Rating,Cleanliness Rating,Sleep Rating,Location Rating,Overall Rating
100504,Chiantigirl24,302,Seattle Washington,1,5,5,5,5,5,5,5
100504,MauiDiver,302,Seattle Washington,2,3,2,2,5,2,3,2
100504,Tulane86,302,Seattle Washington,3,4,3,2,5,1,5,3
100504,cantwaitNy,302,Seattle Washington,4,5,4,5,5,5,3,5
100504,MarbleJac,302,Seattle Washington,5,4,5,4,5,5,4,4
100504,Smashers,302,Seattle Washington,6,5,5,5,5,5,5,5
100504,Chiliwidle,302,Seattle Washington,7,4,2,3,4,3,3,4
100504,trinzeon,302,Seattle Washington,8,4,5,4,5,5,5,5
100504,ATudorQuene,302,Seattle Washington,9,5,5,5,5,5,5,5
100504,sunchip,302,Seattle Washington,10,5,5,4,5,5,5,5
100504,SCG2,302,Seattle Washington,11,4,4,4,4,4,3,4
100504,ozzykat,302,Seattle Washington,12,5,5,5,5,5,5,5
100504,kimo767,302,Seattle Washington,13,5,5,5,5,5,5,5
100504,IluvBandit,302,Seattle Washington,14,3,3,3,3,3,3,4
100504,juliebug52,302,Seattle Washington,15,5,5,4,5,5,5,4
100504,Seahawkan,302,Seattle Washington,16,5,5,5,5,5,4,5
100504,JLFERG,302,Seattle Washington,17,5,5,5,5,5,5,5
100504,pdxmum,302,Seattle Washington,18,5,5,5,5,5,3,5
100504,caesarsmum,302,Seattle Washington,19,5,5,4,5,5,5,5
100504,youbettago,302,Seattle Washington,20,2,4,2,4,4,3,3
100504,crimson999,302,Seattle Washington,21,4,4,4,4,4,3,4
100504,TravelingTaylor,302,Seattle Washington,22,5,5,5,5,5,5,5
100504,IndianBaldie,302,Seattle Washington,23,5,5,5,5,5,5,5
100504,wilbret,302,Seattle Washington,24,5,4,3,4,4,3,4
100504,chesterrant,302,Seattle Washington,25,4,5,5,5,5,5,5
100504,penicilling,302,Seattle Washington,26,5,5,5,5,5,5,5
100504,lirecal,302,Seattle Washington,27,1,4,3,4,4,5,3
100504,gotech1,302,Seattle Washington,28,5,5,5,5,5,5,5
100504,Ladyllewellyn,302,Seattle Washington,29,4,5,4,5,5,5,4
100504,mmdoherty,302,Seattle Washington,30,5,5,4,5,5,4,5
100504,Leftfisted,302,Seattle Washington,31,4,3,3,5,4,3,4
100504,paperbag41,302,Seattle Washington,32,4,4,5,4,5,5,4
100504,travelingdoggy,302,Seattle Washington,33,4,4,4,5,5,5,4
100504,travelin75,302,Seattle Washington,34,4,4,4,5,5,5,4
100504,NomadDC,302,Seattle Washington,35,5,5,5,5,5,5,5
100504,halgrover,302,Seattle Washington,36,4,1,3,5,1,3,3
100504,dephal,302,Seattle Washington,37,5,5,5,5,4,4,5
100504,shetravels99,302,Seattle Washington,38,4,4,4,5,5,3,4
100504,BKNY1,302,Seattle Washington,39,4,4,4,4,4,3,5
100504,egoldsby,302,Seattle Washington,40,4,1,3,3,3,1,2
100504,kjw54,302,Seattle Washington,41,5,5,5,5,5,5,5
100504,MisstheDogs,302,Seattle Washington,42,4,5,5,5,5,5,5
100504,DavidBradley,302,Seattle Washington,43,5,5,5,5,5,5,5
100504,bea001,302,Seattle Washington,44,1,1,1,4,2,1,1
100504,M2inApril,302,Seattle Washington,45,4,4,5,5,4,5,4
100504,TravelerMaui,302,Seattle Washington,46,5,4,4,3,4,4,4
100504,norcalmama,302,Seattle Washington,47,5,5,4,5,3,4,4
100504,GypsyPol,302,Seattle Washington,48,3,3,2,3,3,2,3
100504,MyAZ,302,Seattle Washington,49,5,5,4,5,5,5,5
100504,mahicks81,302,Seattle Washington,50,3,2,2,3,3,2,2
100504,cecomp76,302,Seattle Washington,51,5,5,5,5,5,5,4
100504,pdx2006,302,Seattle Washington,52,4,2,3,5,1,4,3
100505,micklondonengland,200,Seattle Washington,53,5,5,5,5,5,3,5
100505,Sandy11,200,Seattle Washington,54,1,1,1,1,1,1,1
100505,kkua,200,Seattle Washington,55,3,3,3,3,3,1,3
100505,beachlover325,200,Seattle Washington,56,3,3,3,3,2,3,3
100505,Notam,200,Seattle Washington,57,3,4,4,3,5,4,4
100505,TLD2006,200,Seattle Washington,58,2,5,3,3,5,3,2
100505,cruisegaldiane,200,Seattle Washington,59,3,3,2,3,2,3,2
100505,rochne,200,Seattle Washington,60,4,3,3,4,2,3,4
100505,euroky,200,Seattle Washington,61,4,3,4,5,3,2,5
100505,BarbadosMillie,200,Seattle Washington,62,2,1,1,2,1,2,1
100505,prettystella,200,Seattle Washington,63,3,5,4,4,5,3,4
100505,journeys4me,200,Seattle Washington,64,3,3,2,3,2,4,3
100505,MuppetTraveler,200,Seattle Washington,65,5,5,5,5,5,4,5
100505,RoadTripsRUS,200,Seattle Washington,66,1,2,1,2,2,2,1
100505,AlaskanIce,200,Seattle Washington,67,1,1,1,2,1,2,1
100505,ChicagoMikeandcait,200,Seattle Washington,68,5,5,5,5,5,5,5
100505,Mekoryukbic,200,Seattle Washington,69,5,4,2,5,3,3,3
100505,mensendamp,200,Seattle Washington,70,3,3,3,3,3,3,3
100505,Lansaw,200,Seattle Washington,71,2,4,4,4,4,3,4
100505,PRAdam,200,Seattle Washington,72,4,4,4,4,2,4,4
100505,lalouisianne,200,Seattle Washington,73,2,2,2,4,3,2,2
100505,skpke,200,Seattle Washington,74,4,4,5,4,5,4,4
100505,coffeegirl247,200,Seattle Washington,75,5,5,4,5,5,5,5
100505,csm2000,200,Seattle Washington,76,4,4,5,4,4,3,3
100505,AlwaysWunderlust,200,Seattle Washington,77,5,5,5,5,5,5,4
100505,rjc260,200,Seattle Washington,78,4,3,4,4,3,4,3
100505,AmieeandJohn,200,Seattle Washington,79,5,3,5,5,4,5,5
100505,ArubaAmy,200,Seattle Washington,80,4,4,4,4,5,5,4
100505,thailandisles,200,Seattle Washington,81,4,2,2,3,2,3,2
100505,jamjmiller,200,Seattle Washington,82,4,4,4,5,4,5,4
100505,DrewinAlamo,200,Seattle Washington,83,2,2,1,2,2,3,2
100505,WATraveler004,200,Seattle Washington,84,5,5,5,5,5,5,5
100505,Pitter7378,200,Seattle Washington,85,1,1,1,3,2,2,1
100505,teddybear78,200,Seattle Washington,86,1,1,1,2,1,2,1
100505,wem123,200,Seattle Washington,87,5,5,4,5,5,3,4
100505,Bobbio,200,Seattle Washington,88,4,5,4,4,5,3,4
100505,uniquemo,200,Seattle Washington,89,5,5,3,5,5,5,5
100505,alizarine,200,Seattle Washington,90,1,3,1,2,3,1,2
100505,JWBlack,200,Seattle Washington,91,2,2,3,4,2,2,2
100505,NeilFaust,200,Seattle Washington,92,5,5,5,5,5,5,5
100505,HoneymoonMarch2007,200,Seattle Washington,93,4,3,5,4,3,2,3
100505,topsie2,200,Seattle Washington,94,5,5,5,5,5,5,5
100505,cruzca,200,Seattle Washington,95,3,3,3,3,4,3,3
100505,travelin75,200,Seattle Washington,96,4,3,2,1,3,2,2
100505,39StatesNcounting,200,Seattle Washington,97,4,5,5,5,4,5,4
100505,bijou2006,200,Seattle Washington,98,3,2,1,2,1,4,1
100505,bububr,200,Seattle Washington,99,3,3,3,3,4,3,2
100505,LynninChapelHill,200,Seattle Washington,100,4,3,4,5,1,3,4
100505,scooter028,200,Seattle Washington,101,2,4,3,3,4,3,3
100505,jason330i,200,Seattle Washington,102,4,4,4,4,4,1,4
100506,teamfightingchicken,103,Seattle Washington,103,1,1,2,1,2,1,1
100506,GTSDenver,103,Seattle Washington,104,1,2,2,1,2,1,1
